1747,2064,2305,2446
2748,2057,3250,2427
2309,2058,2643,2389
1239,2064,1729,2440
749,2020,891,2339
508,2016,736,2329
6,2016,220,2314
237,2015,493,2322
1154,1782,1231,2159
413,1649,505,1922
2,1629,96,1930
600,1645,683,1908
508,1658,594,1915
111,1644,216,1924
226,1630,331,1924
840,1635,1020,1931
2803,1492,3265,1952
2189,1507,2782,1937
989,1501,1082,1850
1228,1431,1664,1859
1689,1464,2165,1913
289,1229,456,1523
60,1230,275,1520
683,1212,876,1533
469,1208,669,1529
1041,1219,1151,1444
2924,963,3199,1363
2428,920,2659,1354
2676,901,2915,1346
2182,887,2418,1348
1172,874,1410,1331
1945,859,2166,1332
1430,865,1659,1318
1675,856,1928,1313
909,843,1101,1130
618,807,875,1127
395,817,597,1127
15,795,162,1121
176,803,387,1122
2698,356,2904,735
3165,359,3265,737
2919,356,3164,740
2445,376,2683,739
1221,326,1512,712
974,313,1199,726
731,296,962,707
500,298,723,717
229,290,483,709
0,275,218,720
1534,234,1793,720
1808,234,2095,714
2103,220,2334,535
2351,217,2462,486
1024,2108,1136,2441
1124,2166,1194,2359
